product_id,product_title,rating,total_reviews,price,top_reviews
itmbf14ef54f645d,"Apple iPhone 15 (Blue, 128 GB)",4.6,"9,461","₹59,900","5 Excellent Awesome product very happy to hold this. Better In hand feel,matte finish. Good camera, Brighter screen with Dynamic Island, USB-C, great battery life. 60Hz display is a dealbreaker for some.Its not much noticeable. Thank u Flipkart for the best deal and quick delivery. READ MORE Arunji Govindaraju Certified Buyer , Chennai Feb, 2024 799 181 Permalink Report Abuse || 5 Just wow! Awesome 🔥🔥☺️ READ MORE Rishabh  Jha Certified Buyer , Tikamgarh Apr, 2024 657 147 Permalink Report Abuse"
itm6f0727e3e3b52,"Apple iPhone 15 (Black, 256 GB)",4.6,"9,461","₹69,900","5 Excellent Awesome product very happy to hold this. Better In hand feel,matte finish. Good camera, Brighter screen with Dynamic Island, USB-C, great battery life. 60Hz display is a dealbreaker for some.Its not much noticeable. Thank u Flipkart for the best deal and quick delivery. READ MORE Arunji Govindaraju Certified Buyer , Chennai Feb, 2024 799 181 Permalink Report Abuse || 5 Just wow! Awesome 🔥🔥☺️ READ MORE Rishabh  Jha Certified Buyer , Tikamgarh Apr, 2024 657 147 Permalink Report Abuse"
itm994d8dcac3256,"Samsung Galaxy S24 5G Snapdragon (Cobalt Violet, 128 GB)",4.6,"2,213","₹41,999","5 Mind-blowing purchase Powerful performance, excellent display,compact size and amazing camera making it an allrounder phone. The only drawback is battery life. READ MORE Amit Kumar  Behera Certified Buyer , Bhubaneswar 22 days ago 13 0 Permalink Report Abuse || 4 Good quality product After using S24 for 4 days am writing this review overall a good compact and a handy phone if you want a beast camera, clean UI, battery backup is slightly less but it's okay for average use if you want a mobile for daily gaming than the battery backup will be lesser.If you want good handy Samsung phone than go for it🙌 READ MORE Jayasuriya Anbu Certified Buyer , Mumbai 1 month ago 61 13 Permalink Report Abuse"
itmc60e0c4fb63b7,"Samsung Galaxy S24 5G Snapdragon (Marble Gray, 256 GB)",4.6,"2,213","₹46,999","5 Mind-blowing purchase Powerful performance, excellent display,compact size and amazing camera making it an allrounder phone. The only drawback is battery life. READ MORE Amit Kumar  Behera Certified Buyer , Bhubaneswar 22 days ago 13 0 Permalink Report Abuse || 4 Good quality product After using S24 for 4 days am writing this review overall a good compact and a handy phone if you want a beast camera, clean UI, battery backup is slightly less but it's okay for average use if you want a mobile for daily gaming than the battery backup will be lesser.If you want good handy Samsung phone than go for it🙌 READ MORE Jayasuriya Anbu Certified Buyer , Mumbai 1 month ago 61 13 Permalink Report Abuse"
itm710669e44bbe2,Lenovo THINKPAD E14 GEN 5 - AMD Ryzen 5 7th Gen - 7430U Processor [Base Clock 2.3 GHz / Max Boost Cloc...,3.8,4,"₹54,900","5 Perfect product! Very good 👍 READ MORE Vinod singh Negi Certified Buyer , New Delhi 5 months ago 7 8 Permalink Report Abuse || 5 Great product Working is very good I loved it thanks for your support flipkart READ MORE Ajay Lukka Certified Buyer , Hyderabad 8 months ago 2 2 Permalink Report Abuse"
itm3bc65ea11d81b,Canon EOS R50 Mirrorless Camera Body with RF - S 18 - 45 mm f/4.5 - 6.3 IS STM,4.6,93,"₹63,990","5 Awesome Perfect for beginners, learning , casual shoot, professional. Satisfied with its performance and reliability. Compact in size easy to carry, kit lens is also good READ MORE Hemant Kumar Certified Buyer , New Delhi 9 months ago 46 8 Permalink Report Abuse || 5 Fabulous! Super 💖 READ MORE Anuj Saini Certified Buyer , Muzaffarnagar District Nov, 2023 222 67 Permalink Report Abuse"
itm3bc65ea11d81b,Canon EOS R50 Mirrorless Camera RF - S 18 - 45 mm f/4.5 - 6.3 IS STM and RF - S 55 - 210 mm f/5 - 7.1 ...,4.6,93,"₹81,990","5 Awesome Perfect for beginners, learning , casual shoot, professional. Satisfied with its performance and reliability. Compact in size easy to carry, kit lens is also good READ MORE Hemant Kumar Certified Buyer , New Delhi 9 months ago 46 8 Permalink Report Abuse || 5 Fabulous! Super 💖 READ MORE Anuj Saini Certified Buyer , Muzaffarnagar District Nov, 2023 222 67 Permalink Report Abuse"
